# class-3 witness-divergence slot census (392 rows, itemization 2026-07-30)
# name|book|chapter|verse — every slot: clicked name present in ABP text,
# no TIPNR candidate ref covers the verse, not compound-(b), not superscription-(c).
gilead|1Ch|10|11
gilead|1Ch|10|12
gilead|1Ki|22|12
gilead|1Ki|22|15
gilead|1Ki|22|20
gilead|1Ki|22|29
gilead|1Ki|22|3
gilead|1Ki|22|4
gilead|1Ki|22|6
gilead|1Sa|11|1
gilead|1Sa|11|9
gilead|1Sa|31|11
gilead|2Ch|18|11
gilead|2Ch|18|14
gilead|2Ch|18|19
gilead|2Ch|18|2
gilead|2Ch|18|28
gilead|2Ch|18|3
gilead|2Ch|18|5
gilead|2Ch|22|5
gilead|2Ki|8|28
gilead|2Ki|8|29
gilead|2Ki|9|1
gilead|2Ki|9|14
gilead|2Ki|9|4
gilead|2Sa|21|12
gilead|Gen|46|20
gilead|Jdg|21|10
gilead|Jdg|21|12
gilead|Jdg|21|14
gilead|Jdg|21|8
gilead|Jdg|21|9
gilead|Jos|22|11
hadad|1Ki|11|18
hadad|1Ki|11|20
hadad|1Ki|11|22
hadad|1Ki|20|22
judah|1Ki|22|18
judah|1Ki|22|30
judah|1Ki|22|32
judah|1Ki|22|5
judah|1Ki|4|19
judah|2Ch|14|1
judah|2Ch|19|3
judah|2Ch|21|2
judah|2Ch|31|5
judah|2Ch|34|32
judah|2Ch|36|14
judah|2Ki|3|12
judah|2Sa|1|12
judah|2Sa|24|2
judah|Ezr|3|9
judah|Hag|1|12
judah|Hos|1|4
judah|Hos|6|10
judah|Jer|13|13
judah|Jer|34|1
judah|Psa|108|9
shechaniah|1Ch|24|11
shechaniah|1Ch|3|21
shechaniah|1Ch|3|22
shechaniah|Ezr|10|2
shechaniah|Ezr|8|3
shechaniah|Ezr|8|5
shechaniah|Neh|12|3
shechaniah|Neh|3|29
shechaniah|Neh|6|18
baal|1Ch|4|33
baal|Jer|2|28
joash|2Ch|24|21
joash|2Ch|25|20
saul|1Sa|14|22
saul|1Sa|15|17
saul|1Sa|15|27
saul|1Sa|15|30
saul|1Sa|18|26
saul|1Sa|19|22
saul|1Sa|22|16
saul|1Sa|28|11
michaiah|2Ch|13|2
michaiah|2Ch|17|7
michaiah|2Ch|18|16
michaiah|2Ch|18|18
michaiah|2Ki|22|12
michaiah|Neh|12|35
michaiah|Neh|12|41
joshua|Col|4|11
joshua|Jos|18|11
joshua|Jos|21|12
joshua|Jos|8|24
joshua|Jos|8|32
joshua|Jos|9|26
joshua|Neh|8|7
aram|Isa|7|1
aram|Isa|7|2
aram|Isa|7|5
aram|Isa|7|8
aram|Luk|3|33
aram|Mat|1|3
aram|Mat|1|4
bashemath|Gen|26|34
bashemath|Gen|36|10
bashemath|Gen|36|13
bashemath|Gen|36|17
bashemath|Gen|36|3
bashemath|Gen|36|4
zibeon|1Ch|1|38
zibeon|1Ch|1|40
zibeon|Gen|36|20
zibeon|Gen|36|24
zibeon|Gen|36|29
azariah|1Ch|6|10
azariah|1Ch|6|11
jehu|2Ki|10|15
jehu|2Ki|10|22
jehu|2Ki|10|6
jehu|2Ki|9|25
jehu|2Ki|9|34
cushi|2Sa|18|21
cushi|2Sa|18|22
cushi|2Sa|18|23
cushi|2Sa|18|31
cushi|2Sa|18|32
simon|Deu|33|6
teman|Eze|20|46
teman|Eze|47|19
teman|Eze|48|28
teman|Jos|12|3
teman|Jos|13|4
job|Gen|46|13
job|Job|1|13
job|Job|1|16
job|Job|1|17
job|Job|1|18
jair|1Ch|20|5
jair|1Ch|2|53
joab|2Sa|11|19
joab|2Sa|18|17
joab|2Sa|18|23
ezra|1Ch|4|17
ezra|Neh|8|15
ezra|Neh|8|8
ezra|Neh|9|6
penuel|1Ki|12|25
penuel|Jdg|8|17
penuel|Jdg|8|8
penuel|Jdg|8|9
jeroboam|2Ch|11|15
jeroboam|2Ch|15|8
jeroboam|2Ki|23|16
jeroboam|Hos|10|14
hezekiah|2Ch|32|5
hezekiah|2Ki|18|18
hezekiah|2Ki|20|2
hezekiah|Isa|38|21
micha|2Sa|9|12
micha|Neh|10|11
micha|Neh|11|17
micha|Neh|11|22
gog|Amo|7|1
gog|Eze|38|17
gog|Num|24|7
jeremiah|Jer|25|14
jeremiah|Jer|36|18
jeremiah|Lam|1|1
shuah|1Ch|4|11
shuah|Gen|38|12
shuah|Gen|38|2
heber|1Ch|5|13
heber|1Ch|8|22
heber|Luk|3|35
jehiel|1Ch|11|44
jehiel|1Ch|9|35
jehiel|2Ch|35|9
baana|1Ch|9|43
baana|2Sa|4|5
baana|Neh|7|7
jeiel|2Ch|35|8
maachah|1Ch|19|6
maachah|1Ki|15|20
maachah|1Ki|2|39
uriah|1Ki|15|6
uriah|Isa|21|8
jonathan|1Sa|20|2
jonathan|1Sa|31|12
jonathan|2Sa|19|24
naaman|2Ki|5|14
naaman|2Ki|5|19
naaman|2Ki|5|8
simeon|Act|15|14
simeon|Gen|34|14
simeon|Zec|12|13
mordecai|Est|2|23
mordecai|Est|3|7
mordecai|Est|9|25
jonas|Joh|21|15
jonas|Joh|21|16
jonas|Joh|21|17
shamer|1Ch|6|46
shamer|1Ch|7|34
asa|1Ch|8|38
asa|1Ki|15|15
benaiah|1Ch|11|23
benaiah|1Ch|9|32
ahaz|1Ch|9|41
ahaz|Jer|22|15
sacar|1Ch|11|35
sacar|1Ch|26|4
azareel|1Ch|25|18
azareel|Neh|11|13
benjamin|1Ki|12|20
benjamin|Jdg|5|13
omri|1Ki|16|24
omri|2Ki|9|31
ahab|1Ki|20|15
ahab|1Ki|22|52
ahijah|1Sa|14|18
ahijah|1Sa|14|3
ner|2Sa|4|12
josiah|2Ch|36|4
josiah|2Ki|22|9
ahaziah|2Ki|1|17
ahaziah|2Ki|1|3
hebron|2Sa|2|13
hebron|2Sa|3|12
amnon|2Sa|13|14
amnon|2Sa|13|16
tamar|2Sa|13|16
tamar|Gen|38|26
koz|Ezr|2|61
koz|Neh|7|63
eleazar|Ezr|8|16
eleazar|Num|36|1
noah|Gen|7|16
noah|Gen|9|12
levi|Gen|34|14
levi|Jer|31|14
ehud|Jdg|3|18
ehud|Jdg|3|19
manasseh|Jdg|18|30
manasseh|Num|34|13
maaseiah|Jer|32|12
maaseiah|Jer|51|59
elihu|Job|32|17
elihu|Job|38|1
caleb|Jos|15|15
caleb|Jos|15|19
juda|Luk|3|26
juda|Neh|11|17
gad|Num|33|45
gad|Num|33|46
amram|1Ch|1|41
assir|1Ch|3|17
carmi|1Ch|4|1
amminadab|1Ch|6|22
rapha|1Ch|8|37
jehoshaphat|1Ch|15|24
hanun|1Ch|19|1
jesiah|1Ch|23|20
kore|1Ch|26|19
laadan|1Ch|26|21
elon|1Ki|4|9
baanah|1Ki|4|16
elah|1Ki|4|18
hiram|1Ki|9|13
obadiah|1Ki|18|9
elkanah|1Sa|1|5
nahash|1Sa|11|10
ahimelech|1Sa|21|6
jehoram|2Ch|23|1
jotham|2Ch|27|8
mephibosheth|2Sa|19|26
sheva|2Sa|20|25
michal|2Sa|21|8
barsabas|Act|1|23
joses|Act|4|36
eliezer|Exo|2|22
miriam|Exo|6|20
malchiah|Ezr|10|25
ishmael|Gen|21|11
hadar|Gen|25|15
shechem|Gen|35|5
heman|Gen|36|22
machir|Gen|46|20
deborah|Jdg|4|6
sisera|Jdg|4|19
ebed|Jdg|9|36
shallum|Jer|32|8
pashur|Jer|38|1
jephunneh|Jos|15|14
jamin|Jos|17|7
zacharias|Luk|3|2
joanna|Luk|3|27
jehoiada|Neh|3|6
harim|Neh|10|4
hodijah|Neh|10|12
bunni|Neh|10|14
beor|Num|24|22
shelah|Num|26|19
sarah|Num|26|46
jacob|Gen|29|23
jacob|Gen|29|25
jacob|Gen|29|32
jacob|Gen|29|33
jacob|Gen|29|7
jacob|Gen|30|23
jacob|Gen|30|29
jacob|Gen|30|3
jacob|Gen|32|8
jacob|Gen|35|16
jacob|Gen|35|8
jacob|Gen|45|26
jacob|Gen|48|1
jacob|Gen|48|9
jacob|Isa|42|1
jacob|Mal|3|7
jesus|1Co|16|22
jesus|1Co|5|5
jesus|2Ti|4|22
jesus|Act|19|10
jesus|Act|3|26
jesus|Act|5|41
jesus|Act|8|37
jesus|Act|9|29
jesus|Eph|3|14
jesus|Eph|3|9
jesus|Gal|6|15
jesus|Joh|4|46
jesus|Joh|6|14
jesus|Joh|8|21
jesus|Luk|10|41
jesus|Luk|13|2
jesus|Luk|22|63
jesus|Luk|23|43
jesus|Mar|11|11
jesus|Mar|11|14
jesus|Mar|1|41
jesus|Mar|5|13
jesus|Mar|5|19
jesus|Mat|13|36
jesus|Mat|13|51
jesus|Mat|14|14
jesus|Mat|14|22
jesus|Mat|14|25
jesus|Mat|15|30
jesus|Mat|17|11
jesus|Mat|17|20
jesus|Mat|22|37
jesus|Mat|8|29
jesus|Mat|8|5
jesus|Mat|8|7
jesus|Mat|9|12
jesus|Rev|14|4
jesus|Rom|16|24
joseph|Gen|37|36
joseph|Gen|39|11
joseph|Gen|39|23
joseph|Gen|42|24
joseph|Gen|44|1
joseph|Gen|44|17
joseph|Gen|45|24
joseph|Gen|46|5
joseph|Gen|47|22
joseph|Gen|47|3
joseph|Gen|50|6
elijah|1Ki|17|10
elijah|1Ki|17|11
elijah|1Ki|17|19
elijah|1Ki|17|2
elijah|1Ki|17|20
elijah|1Ki|17|5
elijah|1Ki|17|8
elijah|1Ki|18|18
elijah|1Ki|18|33
elijah|1Ki|18|43
elijah|1Ki|19|10
elijah|1Ki|19|14
elijah|1Ki|19|3
elijah|1Ki|19|6
elijah|2Ki|2|10
pharaoh|1Sa|10|18
pharaoh|Exo|12|31
pharaoh|Exo|14|6
pharaoh|Exo|18|9
pharaoh|Exo|2|22
pharaoh|Exo|2|6
pharaoh|Exo|3|18
pharaoh|Exo|3|19
pharaoh|Gen|41|26
shealtiel|Hag|2|21
micaiah|1Ki|22|17
micaiah|1Ki|22|19
