# Pinned allowlist: the 27 legitimate two-word compound names (charter CHARTER_form_table_rebuild.md).
# Greek column decoded from the PA hex capture 2026-08-13 - byte-exact, separator U+00A0 (Jer 41:17 carries TWO).
# These rows must survive any glued-value fix byte-identical. Parked defects (NOT here): Act 12:19, Act 13:1, Jos 12:23.
hex	greek	book	chapter	verse	english
CE91CEB2CEAFC2A0CE91CEBBCEB2CF8ECEBD	Αβί Αλβών	2Sa	23	31	Abi-albon
CE91CEBCCEBCCEACCEB8C2A0CEA1CEB1CEB2CEAC	Αμμάθ Ραβά	Amo	6	2	Hamath Rabba!
CE91CF80CF80CEAFCEBFCF85C2A0CEA6CF8CCF81CEBFCF85	Αππίου Φόρου	Act	28	15	Appii Forum
CE91CF81CEB5CEAFCEBFCF85C2A0CEA0CEACCEB3CEBFCF85	Αρείου Πάγου	Act	17	22	Areopagus,
CE91CF81CEB5CEB9CEBFCEBDC2A0CEA0CEACCEB3CEBFCEBD	Αρειον Πάγον	Act	17	19	Areopagus
CE92CEB1CEACCEBBC2A0CE92CEB5CF81CEAFCEB8	Βαάλ Βερίθ	Jdg	8	33	Baal-berith
CE92CEB1CEACCEBBC2A0CE95CF81CEBCCF8ECEBD	Βαάλ Ερμών	Jdg	3	3	Baal-hermon
CE92CEB1CEACCEBBC2A0CF83CEB1CEBBCEB9CF83CEAC	Βαάλ σαλισά	2Ki	4	42	Baal-shalisha,
CE92CEB1CEBCCF8ECEB8C2A0CE92CEB1CEACCEBB	Βαμώθ Βαάλ	Jos	13	17	Bamoth-baal,
CE92CEB1CF81CF8ECEB8C2A0C2A0CEA7CEB1CEBCCEB1CEB1CEBC	Βαρώθ  Χαμααμ	Jer	41	17	Chimham,
CE92CEB7CEB8CEAECEBBC2A0CE92CEB5CF81CEAFCEB8	Βηθήλ Βερίθ	Jdg	9	46	of Bethel-berith.
CE92CEB7CF81C2A0CE91CF83CEACCEBD	Βηρ Ασάν	1Sa	30	30	Beer-ashan,
CE93CEB1CF83CEB9CF8ECEBDC2A0CE93CEB1CEB2CEADCF81	Γασιών Γαβέρ	2Ch	8	17	Ezion-geber,
CE95CEB2CEAFCEBBC2A0CEBCCEB1CF81CEBFCEB4CEACCF87	Εβίλ μαροδάχ	2Ki	25	27	Evil-merodach
CE98CEB1CEB3CEBBCEACCEB8C2A0CF86CEB1CEBBCEB1CF83CEACCF81	Θαγλάθ φαλασάρ	2Ki	16	7	Tiglath-pileser
CE98CEB1CEB3CEBBCEACCEB8C2A0CF86CEB1CEBBCEB1CF83CEACCF81	Θαγλάθ φαλασάρ	2Ki	16	10	Tiglath-pileser
CE98CEB5CEB3CEBBCEACCEB8C2A0CF86CEB1CEBBCEB1CF83CEACCF81	Θεγλάθ φαλασάρ	2Ki	15	29	Tiglath-pileser
CE98CEB5CEB3CEBBCEACCEB8C2A0CF86CEB1CEBBCF83CEACCF81	Θεγλάθ φαλσάρ	2Ch	28	20	Tiglath-pileser
CE99CEB1CEBACEADCEB2C2A0CE96CEB7CEB2	Ιακέβ Ζηβ	Jdg	7	25	Jakeb Zeeb.
CE9ACEB1CF81CEB9CEACCEB8C2A0CEB1CF81CEB2CF8ECEBA	Καριάθ αρβώκ	Jos	21	11	Kirjath-arba,
CE9BCEB1CEB2CF8EC2A0CEB7CEBCCEACCEB8	Λαβώ ημάθ	Jdg	3	3	Hamath.
CE9CCEB1CF83CF81CEB5CF86CF8ECEB8C2A0CEBCCEB1CF8ACEBD	Μασρεφώθ μαϊν	Jos	11	8	Misrephoth-maim,
CE9DCEAECF81CEB3CEB5CEBBC2A0CEA3CEB1CF81CEB1CF83CEACCF81	Νήργελ Σαρασάρ	Jer	39	3	Nergal-sharezer,
CEA6CEB1CEACCEB8C2A0CE9CCF89CEACCEB2	Φαάθ Μωάβ	Ezr	10	30	Pahath-moab
CEA6CEB1CEACCEB8C2A0CE9CCF89CEACCEB2	Φαάθ Μωάβ	Neh	7	11	of Pahath-moab,
CEA6CEB1CEACCEB8C2A0CE9CCF89CEACCEB2	Φαάθ Μωάβ	Neh	10	14	Pahath-moab,
CEA6CEB1CEACCF84C2A0CE9CCF89CEACCEB2	Φαάτ Μωάβ	Neh	3	11	of Pahath-moab,
