# R-2 variant-batch CANDIDATES from pn_binding_numonly.txt (audit 2026-07-16 bucket:
# spelling-variant, single close candidate). CONDITIONS: every pair EYEBALLED vs TIPNR
# before it enters the map; roster-freeze gate (check_roster_regression.py CLEAN) before
# any import runs. Columns: surface | candidate entity key | rows | example ref
abadon | abdon | 1 | 1Ch 9:36
abia | abijah | 4 | 1Ch 3:10
abiah | abijah | 3 | 1Ch 6:28
abigal | abigail | 1 | 1Sa 25:36
abimelech | ahimelech | 1 | 1Ch 18:16
acrabbim | akrabbim | 1 | Jos 15:3
adonizedec | adoni-zedek | 2 | Jos 10:1
ahiah | ahijah | 2 | 1Ch 8:7
ahijah | ahiah | 1 | Neh 10:26
aholibama | oholibamah | 1 | Gen 36:25
alexandrian | alexandria | 2 | Act 18:24
aman | amam | 1 | Jos 15:26
amminhud | ammihud | 1 | Num 34:20
araba | arabah | 2 | Jer 39:4
arabian | arabia | 1 | Neh 6:1
aristarcus | aristarchus | 1 | Act 19:29
asiah | asaiah | 2 | 1Ch 15:6
asnapper | osnappar | 1 | Ezr 4:10
atharin | atharim | 1 | Num 21:1
azabuk | azbuk | 1 | Neh 3:16
azareel | azarel | 3 | 1Ch 12:6
azra | arza | 1 | 1Ki 16:9
azur | azzur | 2 | Eze 11:1
baaliah | bealiah | 1 | 1Ch 12:5
barechiah | berechiah | 2 | Neh 3:4
bared | bered | 1 | Gen 16:14
bathuel | bethuel | 1 | Gen 24:24
behurim | bahurim | 1 | 2Sa 3:16
berachah | beracah | 1 | 1Ch 12:3
berean | berea | 1 | Act 20:4
betharam | beth-haram | 1 | Jos 13:27
bethhaccerem | beth-haccherem | 1 | Jer 6:1
bethharan | beth-haram | 1 | Num 32:36
bethhoron | beth-horon_lower | 10 | 1Ch 6:68
bethhoron | beth-horon_upper | 1 | Jos 16:5
bethpalet | beth-pelet | 1 | Jos 15:27
bethphelet | beth-pelet | 1 | Neh 11:26
bethshan | beth-shean | 2 | 1Sa 31:10
boseath | bozkath | 1 | 2Ki 22:1
bosodeiah | besodeiah | 1 | Neh 3:6
cain | kain | 1 | Jos 15:57
chaldean | chaldea | 3 | Dan 2:10
chinnereth | chinneroth | 1 | Jos 19:35
chinneroth | chinnereth | 1 | Jos 12:3
chisleu | chislev | 1 | Zec 7:1
cushi | cush | 6 | 2Sa 18:21
dabir | debir | 1 | Jos 10:39
ebal | obal | 1 | 1Ch 1:22
eliah | elijah | 2 | 1Ch 8:27
eliatha | eliathah | 1 | 1Ch 25:27
elioenai | eliehoenai | 1 | 1Ch 26:3
elisaph | eliasaph | 1 | Num 3:24
elnatham | elnathan | 1 | Ezr 8:16
eneas | aeneas | 2 | Act 9:33
ephratah | ephrathah | 2 | 1Ch 2:24
esthaol | eshtaol | 4 | Jdg 16:31
gadera | gederah | 1 | 1Ch 4:23
galatian | galatia | 2 | Act 16:6
galilean | galilee | 2 | Act 5:37
gamalli | gemalli | 1 | Num 13:12
gedeliah | gedaliah | 1 | 1Ch 25:9
gedi | engedi | 2 | 1Sa 23:29
gerson | gershon | 1 | Gen 46:11
goim | goiim | 1 | Jos 12:23
golon | golan | 1 | Deu 4:43
haareph | hareph | 1 | 1Ch 2:51
haggabah | hagabah | 1 | Ezr 2:45
hashabniah | hashabneiah | 1 | Neh 3:10
hemath | hammath | 1 | 1Ch 2:55
henah | hena | 1 | Isa 37:13
henoch | hanoch | 1 | 1Ch 1:33
hezekiah | hizkiah | 1 | 1Ch 3:23
holam | hoham | 1 | Jos 10:3
honam | hemam | 1 | 1Ch 1:39
husha | hushah | 1 | 1Ch 4:4
hymeneus | hymenaeus | 2 | 1Ti 1:20
iesshiah | isshiah | 1 | 1Ch 24:21
iezraiah | izrahiah | 1 | 1Ch 7:3
ijeabarim | iye-abarim | 1 | Num 21:11
italic | italy | 1 | Act 10:1
ithma | ithmah | 1 | 1Ch 11:46
jaazaniah | jezaniah | 1 | 2Ki 25:23
jabel | jabal | 1 | Gen 4:20
jabok | jabbok | 2 | Jdg 11:13
jadaiah | jedaiah | 1 | Neh 11:10
jahaza | jahaz | 1 | Jos 13:18
jatir | jattir | 1 | Jos 15:48
jebneel | jabneel | 1 | Jos 15:11
jehiel | jehuel | 1 | 2Ch 29:14
jehoaikim | jehoiakim | 2 | Jer 36:28
