# witness-divergence census, PRODUCTION-MATCHER lanes (2026-07-30, reviewer-approved drill)
# lane|name|book|chapter|verse|sole_entity_or_candidate_count
C|gilead|1Ch|10|12|5
C|gilead|1Sa|11|1|5
C|gilead|1Sa|11|9|5
C|gilead|1Sa|31|11|5
C|gilead|2Ch|18|3|5
C|gilead|2Sa|21|12|5
C|gilead|Gen|46|20|5
C|gilead|Jdg|21|10|5
C|gilead|Jdg|21|12|5
C|gilead|Jdg|21|14|5
C|gilead|Jdg|21|8|5
C|gilead|Jdg|21|9|5
C|gilead|Jos|22|11|5
C|hadad|1Ki|11|18|4
C|hadad|1Ki|11|20|4
C|hadad|1Ki|11|22|4
C|hadad|1Ki|20|22|4
C|judah|1Ki|22|18|8
C|judah|1Ki|22|30|8
C|judah|1Ki|22|32|8
C|judah|1Ki|22|5|8
C|judah|1Ki|4|19|8
C|judah|2Ch|14|1|8
C|judah|2Ch|19|3|8
C|judah|2Ch|21|2|8
C|judah|2Ch|31|5|8
C|judah|2Ch|34|32|8
C|judah|2Ch|36|14|8
C|judah|2Ki|3|12|8
C|judah|2Sa|1|12|8
C|judah|2Sa|24|2|8
C|judah|Ezr|3|9|8
C|judah|Hag|1|12|8
C|judah|Hos|1|4|8
C|judah|Hos|6|10|8
C|judah|Jer|13|13|8
C|judah|Jer|34|1|8
C|judah|Psa|108|9|8
B|shechaniah|1Ch|24|11|0
B|shechaniah|1Ch|3|21|0
B|shechaniah|1Ch|3|22|0
B|shechaniah|Ezr|10|2|0
B|shechaniah|Ezr|8|3|0
B|shechaniah|Ezr|8|5|0
B|shechaniah|Neh|12|3|0
B|shechaniah|Neh|3|29|0
B|shechaniah|Neh|6|18|0
C|baal|1Ch|4|33|3
C|baal|Jer|2|28|3
C|joash|2Ch|24|21|8
C|joash|2Ch|25|20|8
C|saul|1Sa|14|22|2
C|saul|1Sa|15|17|2
C|saul|1Sa|15|27|2
C|saul|1Sa|15|30|2
C|saul|1Sa|18|26|2
C|saul|1Sa|19|22|2
C|saul|1Sa|22|16|2
C|saul|1Sa|28|11|2
B|michaiah|2Ch|13|2|0
B|michaiah|2Ch|17|7|0
B|michaiah|2Ch|18|16|0
B|michaiah|2Ch|18|18|0
B|michaiah|2Ki|22|12|0
B|michaiah|Neh|12|35|0
B|michaiah|Neh|12|41|0
C|joshua|Col|4|11|5
C|joshua|Jos|18|11|5
C|joshua|Jos|21|12|5
C|joshua|Jos|8|24|5
C|joshua|Jos|8|32|5
C|joshua|Jos|9|26|5
C|joshua|Neh|8|7|5
C|aram|Isa|7|1|5
C|aram|Isa|7|2|5
C|aram|Isa|7|5|5
C|aram|Isa|7|8|5
C|aram|Luk|3|33|5
C|aram|Mat|1|3|5
C|aram|Mat|1|4|5
B|bashemath|Gen|26|34|0
B|bashemath|Gen|36|10|0
B|bashemath|Gen|36|13|0
B|bashemath|Gen|36|17|0
B|bashemath|Gen|36|3|0
B|bashemath|Gen|36|4|0
A|zibeon|1Ch|1|38|Zibeon@Gen.36.2-1Ch
A|zibeon|1Ch|1|40|Zibeon@Gen.36.2-1Ch
A|zibeon|Gen|36|20|Zibeon@Gen.36.2-1Ch
A|zibeon|Gen|36|24|Zibeon@Gen.36.2-1Ch
A|zibeon|Gen|36|29|Zibeon@Gen.36.2-1Ch
C|azariah|1Ch|6|10|22
C|azariah|1Ch|6|11|22
C|jehu|2Ki|10|15|5
C|jehu|2Ki|10|22|5
C|jehu|2Ki|10|6|5
C|jehu|2Ki|9|25|5
C|jehu|2Ki|9|34|5
C|cushi|2Sa|18|21|2
C|cushi|2Sa|18|22|2
C|cushi|2Sa|18|23|2
C|cushi|2Sa|18|31|2
C|cushi|2Sa|18|32|2
C|simon|Deu|33|6|8
C|teman|Eze|20|46|2
C|teman|Eze|47|19|2
C|teman|Eze|48|28|2
C|teman|Jos|12|3|2
C|teman|Jos|13|4|2
A|job|Gen|46|13|Job@Job.1.1-Jas
A|job|Job|1|13|Job@Job.1.1-Jas
A|job|Job|1|16|Job@Job.1.1-Jas
A|job|Job|1|17|Job@Job.1.1-Jas
A|job|Job|1|18|Job@Job.1.1-Jas
C|jair|1Ch|20|5|4
C|jair|1Ch|2|53|4
C|joab|2Sa|11|19|4
C|joab|2Sa|18|17|4
C|joab|2Sa|18|23|4
C|ezra|1Ch|4|17|2
C|ezra|Neh|8|15|2
C|ezra|Neh|8|8|2
C|ezra|Neh|9|6|2
C|penuel|1Ki|12|25|2
C|penuel|Jdg|8|17|2
C|penuel|Jdg|8|8|2
C|penuel|Jdg|8|9|2
C|jeroboam|2Ch|11|15|2
C|jeroboam|2Ch|15|8|2
C|jeroboam|2Ki|23|16|2
C|jeroboam|Hos|10|14|2
C|hezekiah|2Ch|32|5|4
C|hezekiah|2Ki|18|18|4
C|hezekiah|2Ki|20|2|4
C|hezekiah|Isa|38|21|4
B|micha|2Sa|9|12|0
B|micha|Neh|10|11|0
B|micha|Neh|11|17|0
B|micha|Neh|11|22|0
C|gog|Amo|7|1|2
C|gog|Eze|38|17|2
C|gog|Num|24|7|2
C|jeremiah|Jer|25|14|8
C|jeremiah|Jer|36|18|8
C|jeremiah|Lam|1|1|8
A|shuah|1Ch|4|11|Shuah@Gen.25.2-1Ch
A|shuah|Gen|38|12|Shuah@Gen.25.2-1Ch
A|shuah|Gen|38|2|Shuah@Gen.25.2-1Ch
C|heber|1Ch|5|13|4
