|477|1Ch 10:13
saying|13|1Sa 11:3
moses|9|1Ch 23:14
jews|9|1Co 9:20
jew|9|Act 19:34
jesus|9|Heb 4:14
jerusalem|9|2Ki 21:16
jearim|9|1Ch 13:5
david|8|1Sa 30:21
simon|7|Deu 33:6
israel|7|Act 13:23
woman|6|Deu 15:12
said|6|Isa 38:21
romans|6|Act 16:21
roman|6|Act 22:26
misor|6|Deu 3:10
jacob|6|Gen 25:27
heliopolis|6|Exo 1:11
greek|6|Act 16:1
cephas|6|1Co 15:5
tyrians|5|1Ch 22:4
solomon|5|1Ch 6:32
libyans|5|Dan 11:43
carthage|5|Eze 38:13
artaxerxes|5|Est 1:9
antilebanon|5|Deu 11:24
saul|4|Act 22:13
salah|4|Gen 10:24
pul|4|1Ch 5:26
pharisee|4|Act 23:6
paul|4|Act 15:38
manasseh|4|2Ki 21:1
mahalaleel|4|Gen 5:12
joseph|4|Exo 1:5
jewish|4|Act 16:1
hebronites|4|1Ch 26:30
field|4|Isa 29:17
esthaol|4|Jdg 16:31
ephesians|4|Act 19:28
elijah|4|Mar 15:35
daniel|4|Dan 2:46
area|4|Jos 17:1
amalekite|4|1Sa 30:13
abia|4|1Ch 3:10
zion|3|Heb 12:22
thessalonians|3|1Th 1:1
tekoite|3|1Ch 11:28
siloam|3|Joh 9:11
shubael|3|1Ch 24:20
sheshbazzar|3|Ezr 1:8
samuel|3|1Ch 26:28
salcah|3|1Ch 5:11
rechabites|3|Jer 35:18
phoenicians|3|Deu 3:9
pharisees|3|Act 15:5
nebajoth|3|Gen 25:13
nazarite|3|Jdg 13:5
minean|3|Job 11:1
milcha|3|Gen 11:29
meshezabeel|3|Neh 10:21
mehunim|3|2Ch 26:7
maraioth|3|1Ch 6:7
man|3|Deu 15:12
levites|3|1Ch 26:17
laadan|3|1Ch 26:21
kirjathbaal|3|Jos 15:60
kedem|3|Eze 25:10
judah|3|Gen 46:28
jonas|3|Joh 21:15
jacobs|3|Gen 30:42
geshurite|3|Jos 12:5
galilean|3|Luk 22:59
gadarenes|3|Luk 8:26
