1Ch 13:2	And David said  to all the assembly of Israel, If it seems good to you, and by the LORD our God, that he should prosper the way, then we should send to  our brethren  being left in all the land of Israel, and the priests the Levites with them which are in the cities of their possession, that they shall be gathered together to us.
1Ch 23:22	And Eleazar died,  and there were no  sons to him, but only daughters. And the sons of Kish their brethren took them.
1Ch 24:28	To Mahli -- Eleazar, and there were no  sons to him.
1Ch 28:20	And David said  to Solomon  his son,  Be strong and manly, and act! Do not fear nor be terrified! for the LORD my God is with you. He will not send you away, and in no way will abandon he you until  you complete  every ministration of work of the house of the LORD.
1Ch 29:8	And the ones who were found with stones for themselves gave to the storehouses of the house of the LORD, through the hand of Jehiel the Gershonite.
1Ki 1:2	And his servants said   to him, Let them seek  for our master  the king a young virgin, and she shall stand beside the king, and will be warming him, and she shall recline in  his bosom,  and our master the king shall be heated.
1Ki 1:24	And Nathan said,  O my master,  O king, have said you, Adonijah shall reign after me, and he shall sit upon my throne?
1Ki 3:27	And the king responded and said, Give the living child  to the one having said, Give to it her! and unto death you should not put it to death --  she is  his mother.
1Ki 12:16	And all Israel knew that the king did not hearken to them.  And the people answered to the king, saying, What is our portion with David? and, There is no  inheritance to us with the son of Jesse. Run, O Israel, to  your tents!  Now graze  your own house,  David! And Israel went forth  to  his tents.
1Ki 13:14	and he went after the man  of God. And he found him sitting down under the oak. And he said to him, Are you the man  of God, the one coming from out of Judah? And he said, I am.
1Ki 16:31	And it was not  enough for him  to go in the sins of Jeroboam son of Nebat, but he took for wife Jezebel the daughter of Ethbaal king of the Sidonians. And he went and served to Baal, and did obeisance to him.
1Ki 17:20	And Elijah yelled out  to the LORD, and he said, O LORD  my God,  also indeed  the widow with whom I dwell with her,  have inflicted evil you  to kill  her son?
1Sa 1:5	And  to Hannah he gave one portion, for there was no  child to her; except that  Elkanah loved Hannah  above Peninnah. But the LORD locked the matter concerning  her womb.
1Sa 9:5	And of their coming unto  Zuph, and Saul said to his servant-lad   with him, Come, for we should return, lest my father sparing   concerning the donkeys, should be thoughtful  concerning us.
1Sa 9:14	And they ascend into the city. And they were entering in the midst of the city, and behold, Samuel came forth for the meeting them,  to ascend unto Bama.
1Sa 11:2	And Nahash the Ammonite said to them, By this I will ordain with you a covenant, in the gouging out of all of you the right eye, and I will make it for scorn upon all Israel.
1Sa 20:42	And Jonathan said  to David, Go in peace! And as we swore by an oath, both of us in the name of the LORD, saying, The LORD will be witness between me and you, and between  my seed and  your seed,  unto the eon. And David rose up  and went forth. And Jonathan entered into the city.
1Sa 22:13	And Saul said to him, Why did you agree against me, you and the son of Jesse,  for you to give  him bread, and a broadsword, and should ask on account his  of God,  to put him against me for an enemy, as he is  this day?
1Sa 28:22	And now hear indeed the voice of your maidservant, for I will place before you a morsel of bread and you eat! and it will be for strength to you, that you should go in the way.
1Sa 30:13	And David said to him, Who are you, and from what place are you? And the Egyptian servant-lad said,  I am a servant of a man, an Amalekite; and my master left me   for I was unwell,  today being three days.
2Ch 1:4	But David brought the ark of God   from out of the city of Kirjath Jearim, for David prepared for it; for he pitched a tent for it in Jerusalem.
2Ch 1:7	In  that night God appeared to Solomon, and he said to him, Ask what shall give to I you!
2Ch 6:25	then shall listen you from the heaven, and you should be propitious  to the sins  of your people Israel, and shall return them into the land which you gave to them and to their fathers.
2Ch 7:17	And if you should go before me as David your father went,   and should do according to all what I gave charge to you, and  keep my orders and my judgments;
2Ch 13:11	And they burn to the LORD whole burnt-offerings morning by morning, and  evening to evening, and they have the incense composition, and place settings of bread loaves upon the pure table,  and the gold lamp-stand,  and  its lamps   to light  evening by evening. For we guard the watch of the LORD, the God  of our fathers; but you abandoned him.
2Ch 14:13	And Asa pursued them and  his people  unto Gerar. And the Ethiopians fell so as to not be in procurement of safety for themselves; for they were defeated before the LORD, and before  his force.  And they despoiled many spoils.
2Ch 25:14	And it came to pass after the coming of Amaziah, having struck the Edomite, that he brought to them the gods of the sons of Seir, and he set them up to himself as gods; and he did obeisance before them, and sacrificed to them.
2Ch 34:6	and among the cities of Manasseh, and Ephraim, and Simeon, and Naphtali, and the places round about them.
2Ki 2:10	And Elijah said,  You hardened  to ask. If you should behold me being taken up from you, it will be thus to you; but if  not, in no way will it be.
2Ki 2:11	And it came to pass of going their and speaking, that behold, a chariot of fire, and horses of fire, and they drew apart between both; and Elijah was taken up  in a rumbling unto into the heaven.
2Ki 15:19	In  his days  Pul king of the Assyrians ascended upon the land. And Menahem gave  to Pul a thousand talents of silver  for his hand to be  with him,  to strengthen  his kingdom  in hand his.
2Ki 18:29	Thus says the king, Let not Hezekiah lift you! for in no way should he be able to rescue you from out of my hand.
2Ki 19:11	Behold, you heard all as much as the king of the Assyrians did in all the lands, as they utterly destroyed them; and how shall be rescued you?
2Sa 1:3	And David said to him, From what place do come you? And he said to him, From out of the camp of Israel I have come through safe.
2Sa 2:20	And Abner looked  to  his rear,  and said, Are you Asahel himself? And he said, I am.
2Sa 12:17	And the elders of his house rose up   to him,  to raise him from the ground, and he did not want, and he would not eat bread with them.
2Sa 13:7	And David sent  for Tamar to the house, saying, Go indeed to the house of Amnon  your brother,  and make food for him!
2Sa 13:29	And the servants of Absalom did  to Amnon as he gave charge to them. And all the sons of the king rose up, and each mounted upon  mule his, and they fled.
2Sa 15:2	And Absalom rose early, and stood at the way of the gate. And it came to pass every man in which had a case, and came to the king for a judgment, that Absalom called him, and said to him, From out of of what city are you? And he said, your servant is from one of the tribes of Israel.
2Sa 15:14	And David said  to all his servants  with him in Jerusalem, Rise up! for we should flee, for there is no  deliverance for us from the face of Absalom. Hasten  to go! that he should not hasten and overtake us, and thrust evil upon us,  and should strike the city by the mouth of the broadsword.
2Sa 20:4	And the king said to Amasa, Call to me men of Judah in three days, but you stand here!
2Sa 20:19	I am peaceable of ones supporting Israel. But you seek to kill a city, even a mother-city in Israel. Why do you swallow down the inheritance of the LORD?
2Sa 21:4	And the Gibeonites said to him, There is not a problem  with us over silver nor gold with Saul, and with  his house;  and there is no  man for us to put to death from all Israel.
Dan 2:20	And he said, May it be -- the name  of God being blessed from the eon and unto the eon, for the wisdom and the might are his.
Dan 2:47	And responding the king said  to Daniel, In truth  your God,  is he God of gods, and lord of the kings, and uncovering mysteries, for you were able to uncover  this mystery.
Dan 4:26	And whereas they said, Allow the development of the roots of the tree in the ground;  your kingdom  abides to you from of which ever time you should know the heavenly authority.
